Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With one type of health insurance coverage:,Margin of Error; Under 18 years: - With one type of health insurance coverage:,Estimate; Under 18 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; Under 18 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; Under 18 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; Under 18 years: - With two or more types of health insurance coverage:,Margin of Error; Under 18 years: - With two or more types of health insurance coverage:,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 34 years:,Margin of Error; 18 to 34 years:,Estimate; 18 to 34 years: - With one type of health insurance coverage:,Margin of Error; 18 to 34 years: - With one type of health insurance coverage:,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 18 to 34 years: - With two or more types of health insurance coverage:,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage:,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 18 to 34 years: - No health insurance coverage,Margin of Error; 18 to 34 years: - No health insurance coverage,Estimate; 35 to 64 years:,Margin of Error; 35 to 64 years:,Estimate; 35 to 64 years: - With one type of health insurance coverage:,Margin of Error; 35 to 64 years: - With one type of health insurance coverage:,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 35 to 64 years: - With two or more types of health insurance coverage:,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage:,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 35 to 64 years: - No health insurance coverage,Margin of Error; 35 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With one type of health insurance coverage:,Margin of Error; 65 years and over: - With one type of health insurance coverage:,Estimate; 65 years and over: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 65 years and over: - With two or more types of health insurance coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With employer-based and direct-purchase coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - With employer-based and direct-purchase coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With employer-based and Medicare coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - With employer-based and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With direct-purchase and Medicare coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - With direct-purchase and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - With Medicare and Medicaid/means-tested public coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - Other private only combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - Other private only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage - Other public only combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - Other public only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage - Other coverage combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - Other coverage combinations,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
Allegheny Center,1,1395,196,181,99,103,92,32,44,0,10,0,10,71,85,0,10,0,10,16,17,0,10,0,10,0,10,0,10,0,10,16,17,62,73,723,140,649,127,416,107,162,60,0,10,71,48,0,10,0,10,5,7,5,7,0,10,0,10,0,10,0,10,0,10,69,46,323,67,232,58,169,53,19,17,16,13,19,15,0,10,9,12,60,32,0,10,0,10,0,10,14,14,12,17,0,10,34,27,31,28,168,47,78,37,0,10,0,10,78,37,0,10,0,10,90,33,0,10,34,24,14,15,10,14,0,10,0,10,32,19,0,10
Allegheny West,2,343,96,34,38,18,24,18,24,0,10,0,10,0,10,0,10,0,10,16,28,0,10,0,10,0,10,0,10,0,10,16,28,0,10,122,53,89,42,84,42,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,33,37,115,58,79,35,52,35,8,9,0,10,0,10,0,10,19,24,31,42,0,10,0,10,0,10,5,10,0,10,0,10,26,41,5,7,72,40,9,10,0,10,0,10,9,10,0,10,0,10,63,38,0,10,23,34,34,32,0,10,0,10,0,10,6,8,0,10
Allentown,3,2558.0,449.773276218,812.0,239.582971014,781.0,239.737356288,103.0,92.7631392311,26.0,34.0734500748,37.0,57.7581163128,615.0,225.179928057,0.0,17.3205080757,0.0,17.3205080757,31.0,31.1769145362,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,31.0,31.1769145362,0.0,17.3205080757,470.0,179.849937448,338.0,146.533272673,159.0,92.4229408751,10.0,21.3541565041,0.0,17.3205080757,169.0,128.35497653,0.0,17.3205080757,0.0,17.3205080757,10.0,21.3541565041,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,10.0,21.3541565041,122.0,115.641687985,1007.0,168.154690687,648.0,172.942186872,322.0,110.607413856,73.0,52.1823725026,11.0,22.1133443875,242.0,113.384302264,0.0,17.3205080757,0.0,17.3205080757,169.0,90.4101764184,73.0,68.4543643605,0.0,17.3205080757,0.0,17.3205080757,41.0,30.347981811,0.0,17.3205080757,27.0,34.0734500748,28.0,35.9583091928,190.0,86.7294644282,269.0,71.4492827116,47.0,33.0302891298,0.0,17.3205080757,0.0,17.3205080757,47.0,33.0302891298,0.0,17.3205080757,0.0,17.3205080757,222.0,67.9632253502,0.0,17.3205080757,40.0,29.3598365118,36.0,33.1662479036,52.0,34.4963766213,0.0,17.3205080757,6.0,16.7630546143,88.0,49.507575178,0.0,17.3205080757
Arlington,4,1852.0,348.188167518,338.0,120.946269062,216.0,89.2916569451,64.0,40.4474968323,0.0,17.3205080757,0.0,17.3205080757,152.0,82.2800097229,0.0,17.3205080757,0.0,17.3205080757,104.0,80.6597793204,0.0,17.3205080757,0.0,17.3205080757,21.0,34.9857113691,0.0,17.3205080757,0.0,17.3205080757,83.0,74.7127833774,18.0,24.4948974278,570.0,206.891275795,336.0,137.408151141,265.0,128.257553384,23.0,34.0734500748,0.0,17.3205080757,36.0,28.6006992921,0.0,17.3205080757,12.0,26.1533936613,26.0,33.1662479036,7.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,19.0,32.2645316098,208.0,98.6813052204,773.0,157.651514424,561.0,125.733845881,438.0,116.828934772,29.0,21.6794833887,6.0,16.7630546143,88.0,46.0977222865,0.0,17.3205080757,0.0,17.3205080757,90.0,45.1774279923,14.0,21.354156504,0.0,17.3205080757,7.0,17.9164728672,42.0,35.6230262611,10.0,21.3541565041,8.0,18.547236991,9.0,20.6155281281,122.0,62.0805927807,171.0,55.1815186453,22.0,18.0277563773,0.0,17.3205080757,0.0,17.3205080757,22.0,18.0277563773,0.0,17.3205080757,0.0,17.3205080757,149.0,50.4876222455,0.0,17.3205080757,17.0,18.0277563773,61.0,31.3687742827,26.0,30.166206258,0.0,17.3205080757,11.0,18.547236991,34.0,28.231188427,0.0,17.3205080757
Arlington Heights,5,272,126,122,75,97,69,0,10,0,10,0,10,97,69,0,10,0,10,25,37,0,10,0,10,0,10,0,10,0,10,25,37,0,10,104,63,98,61,12,14,0,10,0,10,86,62,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,9,36,29,12,14,0,10,0,10,0,10,12,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,24,26,10,12,0,10,0,10,0,10,0,10,0,10,0,10,10,12,0,10,0,10,5,10,0,10,0,10,0,10,5,7,0,10
Banksville,6,3697.0,542.090398365,341.0,170.440605491,287.0,130.330349497,237.0,120.656537328,15.0,31.2409987036,0.0,20.0,35.0,43.4050688284,0.0,20.0,0.0,20.0,54.0,66.302337817,54.0,66.302337817,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,1255.0,280.731188149,1092.0,278.213946451,996.0,283.024733902,68.0,63.3403504885,0.0,20.0,28.0,47.2863616702,0.0,20.0,0.0,20.0,35.0,42.7200187266,35.0,42.7200187266,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,128.0,93.8562730988,1471.0,294.051015982,1317.0,285.345404729,1197.0,279.467350508,55.0,44.5196585791,42.0,69.2026011072,16.0,31.2409987036,7.0,22.2710574513,0.0,20.0,84.0,52.6592821827,15.0,31.2409987036,0.0,20.0,18.0,33.7786915081,15.0,29.5972971739,0.0,20.0,0.0,20.0,36.0,37.0405183549,70.0,69.3253200497,630.0,196.890832697,204.0,147.966212359,0.0,20.0,0.0,20.0,204.0,147.966212359,0.0,20.0,0.0,20.0,426.0,153.215534461,0.0,20.0,184.0,101.202766761,193.0,110.688752816,0.0,20.0,0.0,20.0,11.0,26.4575131106,38.0,43.0116263352,0.0,20.0
Bedford Dwellings,7,1349,180,477,143,407,147,11,20,17,21,0,10,379,149,0,10,0,10,64,54,0,10,0,10,22,34,0,10,0,10,42,41,6,11,364,91,268,94,38,40,30,33,0,10,200,88,0,10,0,10,66,36,0,10,0,10,18,19,0,10,0,10,48,32,30,32,345,78,200,59,67,37,0,10,0,10,133,47,0,10,0,10,78,43,0,10,8,11,0,10,50,34,8,9,0,10,12,20,67,47,163,43,43,26,9,14,0,10,34,22,0,10,0,10,120,32,0,10,0,10,15,13,86,31,0,10,0,10,19,15,0,10
Beechview,8,7996.0,721.665434948,1399.0,279.706989545,1096.0,260.883115589,655.0,207.973556012,12.0,38.4187454245,0.0,31.6227766016,429.0,168.582324104,0.0,31.6227766016,0.0,31.6227766016,233.0,118.482066153,12.0,36.0555127547,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,221.0,116.335721084,70.0,67.052218457,2265.0,354.153921341,1717.0,284.952627641,1337.0,249.617707704,153.0,85.5920557062,0.0,31.6227766016,216.0,110.122658885,0.0,31.6227766016,11.0,34.985711369,71.0,52.5642464039,11.0,34.0,0.0,31.6227766016,2.0,30.2654919008,0.0,31.6227766016,0.0,31.6227766016,58.0,50.9705797495,477.0,217.827913732,3156.0,391.887739027,2524.0,378.243307938,1961.0,276.801372828,120.0,53.9351462406,56.0,46.2925479965,360.0,210.905191972,27.0,39.0384425919,0.0,31.6227766016,295.0,114.433386737,48.0,56.8682688323,0.0,31.6227766016,1.0,30.2654919008,87.0,59.9666574023,17.0,37.8021163429,27.0,46.8614980554,115.0,61.2535713244,337.0,132.563192479,1176.0,204.921936356,296.0,108.39280419,38.0,39.4334883063,0.0,31.6227766016,258.0,102.078401241,0.0,31.6227766016,0.0,31.6227766016,880.0,174.022986987,0.0,31.6227766016,267.0,88.2326470192,266.0,77.9230389552,147.0,130.418556963,0.0,31.6227766016,0.0,31.6227766016,200.0,68.2568677864,0.0,31.6227766016
Beltzhoover,9,1702.0,343.072878555,331.0,139.688940149,246.0,129.74205178,122.0,116.215317407,6.0,20.0,0.0,20.0,118.0,86.2960022249,0.0,20.0,0.0,20.0,14.0,21.4476105895,0.0,20.0,5.0,19.0787840283,0.0,20.0,0.0,20.0,0.0,20.0,9.0,22.2710574513,71.0,65.7343137182,369.0,144.571781479,218.0,99.4233373007,139.0,74.4983221288,9.0,22.9128784748,0.0,20.0,70.0,71.0633520178,0.0,20.0,0.0,20.0,13.0,28.0,13.0,28.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,138.0,108.217373837,718.0,179.379486007,530.0,159.044019064,419.0,154.123327242,20.0,27.276363394,11.0,22.9128784748,80.0,59.6573549531,0.0,20.0,0.0,20.0,109.0,68.1909084849,22.0,30.4138126515,7.0,20.0,0.0,20.0,45.0,56.9385633819,0.0,20.0,0.0,20.0,35.0,29.0516780927,79.0,71.0563156939,284.0,76.5375724726,79.0,44.7883913531,7.0,20.0,0.0,20.0,72.0,43.5660418216,0.0,20.0,0.0,20.0,205.0,63.5924523823,0.0,20.0,23.0,28.7228132327,38.0,27.8747197295,34.0,30.886890423,0.0,20.0,19.0,24.9198715887,91.0,42.9534631898,0.0,20.0
Bloomfield,10,8667.0,491.348145412,670.0,173.505043154,618.0,164.702762576,438.0,116.606174793,29.0,37.3630833845,0.0,31.6227766016,149.0,123.753787822,2.0,30.5941170816,0.0,31.6227766016,27.0,27.8747197295,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,27.0,27.8747197295,25.0,43.2781700167,4419.0,382.500980391,3480.0,329.367575818,2853.0,297.496218464,442.0,136.799122804,0.0,31.6227766016,138.0,82.4317899843,47.0,50.4876222454,0.0,31.6227766016,197.0,75.2595508889,121.0,61.3025284959,0.0,31.6227766016,35.0,43.874821937,11.0,37.2021504755,0.0,31.6227766016,30.0,29.5127091267,742.0,165.317875622,2483.0,209.181739164,1987.0,189.330399038,1456.0,155.650248955,247.0,72.9588925354,59.0,41.9165838303,212.0,89.5209472693,7.0,31.6227766016,6.0,31.6227766016,233.0,82.2070556582,48.0,33.5559234711,5.0,31.0483493924,10.0,29.9666481276,73.0,56.7538544947,28.0,50.8035431835,0.0,31.6227766016,69.0,44.0113621693,263.0,82.0060973342,1095.0,139.143810498,264.0,71.6309988762,22.0,35.1283361404,0.0,31.6227766016,237.0,69.6491205974,0.0,31.6227766016,5.0,31.0483493925,831.0,121.835955284,0.0,31.6227766016,197.0,66.0454389038,297.0,71.5192281837,104.0,55.4436651026,3.0,30.4138126514,5.0,31.0483493924,225.0,68.066144301,0.0,31.6227766016
Bluff,11,3951.0,337.458145553,71.0,58.7367006224,66.0,58.5576638878,53.0,39.4208066889,13.0,30.4138126515,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,5.0,20.5182845286,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,5.0,20.5182845286,0.0,20.0,3543.0,297.156524411,3361.0,285.168371318,2585.0,290.912357936,630.0,159.449051424,9.0,26.4575131106,69.0,37.603191354,62.0,65.3375848957,6.0,21.6564078277,94.0,58.617403559,36.0,39.9499687108,0.0,20.0,0.0,20.0,44.0,41.7612260356,0.0,20.0,14.0,26.4575131106,88.0,48.8773976394,223.0,100.503731274,129.0,79.1896457879,92.0,75.5843899228,0.0,20.0,15.0,28.1602556807,22.0,23.5796522451,0.0,20.0,0.0,20.0,25.0,24.6981780705,0.0,20.0,0.0,20.0,0.0,20.0,2.0,17.5783958313,0.0,20.0,0.0,20.0,23.0,24.269322199,69.0,53.9536838408,114.0,87.3097932652,48.0,70.2068372739,30.0,69.2026011072,0.0,20.0,18.0,23.2379000772,0.0,20.0,0.0,20.0,66.0,33.3616546352,0.0,20.0,25.0,25.5734237051,25.0,21.6564078277,4.0,18.6815416922,0.0,20.0,0.0,20.0,12.0,19.8494332413,0.0,20.0
Bon Air,12,915,172,249,120,171,85,133,67,0,10,0,10,38,47,0,10,0,10,78,112,0,10,0,10,0,10,0,10,0,10,78,112,0,10,215,81,205,81,171,83,14,15,0,10,14,22,6,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,10,16,342,83,307,78,278,79,22,39,0,10,7,15,0,10,0,10,6,9,4,7,0,10,0,10,0,10,0,10,0,10,2,4,29,29,109,50,11,13,0,10,0,10,11,13,0,10,0,10,98,44,0,10,36,24,21,21,0,10,0,10,0,10,41,24,0,10
Brighton Heights,13,7361.0,556.061147716,1425.0,279.751675598,1132.0,257.610170607,449.0,136.040435165,172.0,129.32903773,0.0,26.4575131106,511.0,206.968596651,0.0,26.4575131106,0.0,26.4575131106,243.0,147.780242251,74.0,86.585218138,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,169.0,123.219316667,50.0,40.533936399,1688.0,233.997863238,1304.0,203.894580605,1005.0,173.441632834,77.0,60.8769250209,0.0,26.4575131106,212.0,88.4024886527,0.0,26.4575131106,10.0,28.2134719593,200.0,87.4356906532,74.0,62.91263784,0.0,26.4575131106,17.0,38.729833462,0.0,26.4575131106,0.0,26.4575131106,109.0,60.415229868,184.0,78.4474346298,3057.0,295.858074083,2393.0,239.970831561,1839.0,224.265467694,288.0,114.594938807,23.0,33.6005952328,217.0,92.3525852372,0.0,26.4575131106,26.0,34.8998567331,314.0,108.853112036,67.0,59.0508255658,28.0,31.1608729018,0.0,26.4575131106,84.0,51.0881590979,10.0,29.8161030318,16.0,34.2928563989,109.0,77.0,350.0,140.992907623,1191.0,174.937131565,293.0,87.5157128749,8.0,27.7308492477,0.0,26.4575131106,285.0,86.3597128295,0.0,26.4575131106,0.0,26.4575131106,898.0,152.371257132,0.0,26.4575131106,217.0,80.6411805469,282.0,98.5088828482,101.0,51.4587213211,0.0,26.4575131106,20.0,30.854497241,278.0,87.1837140755,0.0,26.4575131106
Brookline,14,13150.0,942.906676188,2532.0,430.294085481,2239.0,396.222159905,1137.0,272.904745287,105.0,98.5900603508,11.0,41.9642705167,937.0,274.956360174,49.0,88.3176086634,0.0,38.729833462,76.0,61.0655385633,10.0,40.6939798987,0.0,38.729833462,0.0,38.729833462,0.0,38.729833462,0.0,38.729833462,66.0,59.1100668246,217.0,158.776572579,3173.0,438.369706983,2579.0,389.814058239,2099.0,358.712977184,156.0,90.7083237636,14.0,40.3112887415,291.0,134.171532003,0.0,38.729833462,19.0,42.3438307195,137.0,88.7411967465,28.0,50.6063237155,0.0,38.729833462,56.0,63.8200595424,9.0,40.3112887416,0.0,38.729833462,44.0,63.6867333124,457.0,156.824742944,5534.0,480.584019709,4605.0,448.901993758,3671.0,408.360135175,287.0,126.222026605,102.0,65.5209890034,384.0,199.446734745,55.0,97.4679434482,106.0,84.6935652809,344.0,114.219087722,109.0,81.1418511003,16.0,45.0000000001,20.0,42.0000000001,76.0,54.4701753254,17.0,45.5631429997,12.0,38.8329756779,94.0,57.9396237474,585.0,162.135745597,1911.0,223.38084072,339.0,111.094554322,40.0,47.9687398208,0.0,38.729833462,299.0,106.817601546,0.0,38.729833462,0.0,38.729833462,1572.0,203.681123327,0.0,38.729833462,356.0,105.128492807,559.0,128.584602499,92.0,70.2495551587,0.0,38.729833462,67.0,70.8731260776,498.0,125.243762321,0.0,38.729833462
California-Kirkbride,15,795,136,186,75,179,74,47,42,0,10,0,10,132,71,0,10,0,10,7,10,0,10,0,10,0,10,0,10,0,10,7,10,0,10,242,77,130,52,68,48,0,10,0,10,62,37,0,10,0,10,53,34,0,10,0,10,29,30,21,29,0,10,3,5,59,62,293,76,182,43,79,44,20,19,16,14,67,37,0,10,0,10,24,20,0,10,0,10,4,5,14,16,0,10,6,8,0,10,87,68,74,25,28,16,6,13,0,10,18,12,0,10,4,9,46,17,0,10,7,7,10,10,20,13,0,10,5,6,4,6,0,10
Carrick,16,10111.0,826.974002009,2117.0,433.97234935,1984.0,421.346650634,446.0,140.124944246,51.0,52.820450585,0.0,36.0555127546,1487.0,407.338925221,0.0,36.0555127546,0.0,36.0555127546,109.0,102.171424576,1.0,35.3411940942,0.0,36.0555127546,20.0,47.1593044902,0.0,36.0555127546,0.0,36.0555127546,88.0,97.8059302906,24.0,41.8688428308,2549.0,376.087755715,1885.0,308.546592916,1208.0,260.80260735,137.0,77.9615289743,0.0,36.0555127546,540.0,152.790706524,0.0,36.0555127546,0.0,36.0555127546,61.0,49.1426495012,0.0,36.0555127546,0.0,36.0555127546,36.0,44.8776113447,0.0,36.0555127546,0.0,36.0555127546,25.0,40.1497197997,603.0,185.294360411,4001.0,367.416657216,3155.0,329.258257298,2312.0,276.702005776,212.0,93.4986630922,33.0,41.1825205639,499.0,144.526814121,0.0,36.0555127546,99.0,73.9391641824,492.0,131.449610118,37.0,44.068129073,30.0,40.8289113252,20.0,37.6563407675,182.0,73.6681749468,1.0,35.5527776692,32.0,45.1774279924,190.0,99.6192752432,354.0,124.124937059,1444.0,180.75950874,233.0,77.7303029712,67.0,55.3714727997,0.0,36.0555127546,166.0,63.7024332345,0.0,36.0555127546,0.0,36.0555127546,1188.0,164.787742263,0.0,36.0555127546,270.0,81.6455755079,468.0,117.847358902,107.0,57.5499782799,0.0,36.0555127546,15.0,37.4966665184,328.0,89.1683800459,23.0,42.1070065429
